name,uri,genres,artists,mood
Uptown Funk (feat. Bruno Mars),4rmPQGwcLQjCoFq5NrTA0D,['pop soul'],Mark Ronson,happy
Hooked On A Feeling,6Ac4NVYYl2U73QiTt11ZKd,['classic swedish pop'],Blue Swede,happy
Music For a Sushi Restaurant,5LYMamLv12UPbemOaTPyeV,['pop'],Harry Styles,happy
A-Punk,5dKBaysNJtfpyNTRa5lqDb,"['baroque pop', 'chamber pop', 'garage rock', 'indie rock', 'indietronica', 'modern rock']",Vampire Weekend,happy
Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,"['dance pop', 'pop', 'uk pop']",Dua Lipa,happy
Hey Ya!,3AszgPDZd9q0DpDFt4HFBy,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",Outkast,happy
Made You Look,0QHEIqNKsMoOY5urbzN48u,"['hip pop', 'pop']",Meghan Trainor,happy
Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,['new wave pop'],Katrina & The Waves,happy
THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,['lgbtq+ hip hop'],Lil Nas X,happy
Twist And Shout - Remastered,4Z1fbYp0HuxLBje4MOZcSD,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",The Beatles,happy
Girlfriends,0gsY8KBi8CuXePHxBjpysJ,[],High Tropics,happy
Lisztomania,7zkDEBSxkcBVsStS4qBFpK,"['emo', 'modern rock', 'pop', 'rock']",Phoenix,happy
Sunroof,4h4QlmocP3IuwYEj2j14p8,['singer-songwriter pop'],Nicky Youre,happy
Don't Stop Me Now,2RknY4IqSPwagR0v5wchIW,[],Queen,happy
Riptide,3JvrhDOgAt6p7K8mDyZwRd,"['folk-pop', 'modern rock']",Vance Joy,happy
Video Killed The Radio Star,6VwkgtOIlVboseFPCFnyJ2,"['early synthpop', 'new wave pop', 'zolo']",The Buggles,happy
Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,"['dance pop', 'pop']",Doja Cat,happy
Mr. Brightside,0eGsygTp906u18L0Oimnem,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",The Killers,happy
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,"['dance pop', 'pop']",Justin Timberlake,happy
Wake Me Up Before You Go-Go,6ZEAXknmx2mrO3KgcDNpFI,"['new romantic', 'new wave pop', 'soft rock']",Wham!,happy
A-O-K,51PSUD2YHjPyAy3jnkaoy7,"['modern indie pop', 'singer-songwriter pop']",Tai Verdes,happy
Should I Stay or Should I Go - Remastered,3v8PlUFGQQDBIk1J86waCo,"['alternative rock', 'permanent wave', 'punk', 'rock']",The Clash,happy
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2Foc5Q5nqNiosCNqttzHof,"['electro', 'filter house', 'rock']",Daft Punk,happy
Beggin',3Wrjm47oTz2sjIgck11l5e,"['indie rock italiano', 'italian pop']",Måneskin,happy
Lush Life,1rIKgCH4H52lrvDcz50hS8,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",Zara Larsson,happy
You Can't Always Get What You Want,6lFZbCc7pn6Lme1NP7qQqQ,"['album rock', 'british invasion', 'classic rock', 'rock']",The Rolling Stones,happy
Can I Get It,6w8ZPYdnGajyfPddTWdthN,"['british soul', 'pop', 'pop soul', 'uk pop']",Adele,happy
How Bizarre,6RT3PxDEQOa7m6tK502DNa,['nz pop'],OMC,happy
Treasure,55h7vJchibLdUkxdlX3fK7,"['dance pop', 'pop']",Bruno Mars,happy
Come,1YrC8s6yZWw23QxW6rfM9f,['french pop'],Jain,happy
Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,"['dance pop', 'pop']",Camila Cabello,happy
Everybody Needs Somebody To Love,5olYKlNYCELRBQzxQ6Tr1V,"['blues', 'blues rock']",The Blues Brothers,happy
For Once In My Life,0Vamcab1ClWW7u8rAiwT5d,[],caravan,happy
Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pov: indie']",BØRNS,happy
Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,['pop'],Harry Styles,happy
Don't Worry Be Happy,5YbgcwHjQhdT1BYQ4rxWlD,['a cappella'],Bobby McFerrin,happy
Supalonely,4nK5YrxbMGZstTLbvj6Gxw,"['alt z', 'nz pop']",BENEE,happy
I Got You (I Feel Good),4ZrbWwFHHjPoe7cfUBJ9WQ,"['funk', 'soul', 'vocal jazz']",James Brown,happy
Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,['bedroom soul'],Surfaces,happy
Shiny Happy People,4er8NyQ8cFnZ2b643Tjc44,"['alternative rock', 'athens indie', 'permanent wave', 'rock']",R.E.M.,happy
As It Was,4LRPiXqCikLlN15c3yImP7,['pop'],Harry Styles,happy
One Track Mind,67E2W74IlpFbSCcm46PZP3,"['classic texas country', 'red dirt']",Zaide,happy
Celebration - Single Version,6pc8xULSlsMdFB3OrqbvZ4,"['disco', 'funk', 'motown', 'soft rock', 'soul']",Kool & The Gang,happy
3 Nights,0uI7yAKUf52Cn7y3sYyjiX,"['alternative pop rock', 'pov: indie']",Dominic Fike,happy
Gimme Hope Jo'Anna,6W99yGcIH43jskdRA7idD3,"['guyanese pop', 'uk reggae']",Eddy Grant,happy
just for now,5seOJJVjyWCIBkSEBJrIGX,"['east coast hip hop', 'hip hop', 'rap', 'trap']",Arya,happy
All About That Bass,0ifSeVGUr7py5GggttDhXw,"['hip pop', 'pop']",Meghan Trainor,happy
Home,0cBPuDA3xUjR4Vh9o7CKy8,"['la indie', 'stomp and holler']",Edward Sharpe & The Magnetic Zeros,happy
Cassy O',24fXShNbufmThxBTWWPfO1,"['folk-pop', 'neo-singer-songwriter']",George Ezra,happy
Jailhouse Rock,6pyex9B1kBoRIuabBAc4m8,"['rock-and-roll', 'rockabilly']",Elvis Presley,happy
Said and Done,3jnMhpFIw1rtQh43XnNUxs,['gaming edm'],Johnning,happy
Country House,4vnYwFOZCVl0bmerWyuzRw,"['dance pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",Blur,happy
Honeypie,6FfLg6FFqhCsrFOaHIGkg0,"['bedroom pop', 'pov: indie']",JAWNY,happy
You Make My Dreams (Come True),7HX9f8AMBl0vQxAoAzLqhS,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",Daryl Hall & John Oates,happy
A.S.S. (always sunny somewhere),0lqtePau02eM0xmOUIZ3uE,[],Camo Columbo,happy
