name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Apocalypse,0.0194,0.369,0.467,0.46,0.109,-9.018,0.0274,94.473,0.174
Space Song,0.233,0.507,0.79,0.139,0.145,-7.307,0.0294,147.065,0.6
Runaway,0.629,0.422,0.302,7.83e-05,0.104,-9.214,0.0372,114.089,0.123
Kids,0.508,0.827,0.66,0.403,0.0756,-9.669,0.0337,113.449,0.904
July,0.868,0.708,0.186,0.0,0.0779,-8.953,0.0422,72.541,0.321
New Home,0.994,0.378,0.014,0.87,0.116,-22.794,0.0515,71.865,0.198
Agape,0.884,0.153,0.162,0.943,0.111,-19.61,0.0429,68.734,0.0584
Lights Are On,0.981,0.44,0.04,0.465,0.111,-16.887,0.0322,135.965,0.249
Je te laisserai des mots,0.989,0.303,0.187,0.489,0.101,-16.757,0.0356,132.731,0.213
The Wisp Sings,0.988,0.521,0.0889,0.182,0.0965,-19.457,0.0507,115.43,0.0479
Always Forever,0.00181,0.174,0.742,0.281,0.198,-5.93,0.0485,163.378,0.36
Georgia,0.606,0.425,0.305,5.63e-06,0.12,-10.38,0.0302,143.535,0.101
Where's My Love - Acoustic,0.892,0.554,0.225,0.0321,0.107,-11.324,0.0281,104.007,0.221
Ontario,0.947,0.409,0.223,0.0123,0.0635,-13.886,0.0296,89.877,0.173
worldstar money (interlude),0.964,0.577,0.387,0.705,0.208,-8.607,0.274,146.565,0.459
Happiness is a butterfly,0.969,0.467,0.119,1.4e-06,0.0973,-10.99,0.0401,70.499,0.156
Mystery of Love,0.94,0.365,0.273,0.431,0.109,-16.526,0.038,132.285,0.238
Euphor,0.968,0.296,0.284,0.189,0.0961,-14.01,0.033,114.786,0.0917
Turning Page,0.964,0.404,0.0182,0.00037,0.108,-20.969,0.0414,109.107,0.114
Where's My Love,0.854,0.608,0.358,0.0186,0.113,-10.018,0.0253,103.94,0.365
Pretending,0.98,0.391,0.228,0.851,0.116,-17.74,0.0427,139.691,0.107
Sometimes (Backwood),0.767,0.41,0.174,0.00197,0.114,-11.405,0.0328,105.292,0.0694
lvr boy,0.949,0.498,0.0283,1.76e-06,0.251,-25.021,0.0427,85.473,0.0653
Roslyn,0.946,0.267,0.0563,0.00567,0.109,-14.171,0.0375,134.347,0.0709
Vas,0.918,0.514,0.424,0.849,0.126,-10.645,0.0282,71.114,0.416
Mind Over Matter (Reprise),0.229,0.393,0.487,0.0,0.128,-6.348,0.0337,151.958,0.3
As the World Caves In,0.369,0.327,0.449,0.00444,0.22,-5.362,0.034,123.969,0.179
Butterfly's Repose,0.974,0.3,0.0177,0.00764,0.106,-27.293,0.0422,120.492,0.0896
Repeat Until Death,0.982,0.233,0.15,0.36,0.154,-11.736,0.0336,143.887,0.0875
Falling for You,0.874,0.227,0.122,0.746,0.0943,-21.002,0.0435,152.307,0.055
"Runaway (From ""Westworld"") - Piano Rendition",0.971,0.455,0.257,0.858,0.0739,-14.016,0.039,80.004,0.103
i was all over her,0.788,0.529,0.353,0.853,0.116,-12.835,0.0292,104.557,0.0601
Tired,0.483,0.63,0.418,0.15,0.111,-7.111,0.0254,140.037,0.345
i met sarah in the bathroom,0.901,0.675,0.408,0.000714,0.16,-10.861,0.142,90.111,0.229
Bubble Gum,0.979,0.509,0.0167,2.72e-05,0.387,-24.639,0.115,207.97,0.229
Fear,0.701,0.716,0.447,0.429,0.0855,-8.314,0.0388,93.955,0.506
Sparks,0.748,0.371,0.268,0.0517,0.104,-10.506,0.0281,102.617,0.165
Yellow,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,173.372,0.285
The Scientist,0.731,0.557,0.442,1.46e-05,0.11,-7.224,0.0243,146.277,0.213
The Night We Met,0.969,0.544,0.369,0.279,0.639,-9.514,0.038,87.01,0.102
Medicine,0.135,0.215,0.316,0.244,0.595,-12.201,0.0297,94.619,0.19
Feeling Whitney,0.787,0.412,0.227,4.69e-06,0.282,-12.696,0.0359,80.111,0.226
Forever,0.92,0.563,0.459,0.724,0.11,-7.781,0.0292,79.983,0.197
Fortitude,0.926,0.247,0.176,0.0318,0.107,-11.623,0.0379,161.228,0.207
A Soulmate Who Wasn’t Meant to Be,0.948,0.571,0.0274,6.43e-06,0.322,-20.274,0.0649,124.209,0.087
Hearing,0.818,0.207,0.292,0.942,0.0934,-11.641,0.0328,141.869,0.11
Touch,0.955,0.415,0.104,3.79e-06,0.104,-11.83,0.0426,82.006,0.18
It's Not The Same Anymore,0.873,0.666,0.317,3.74e-05,0.111,-10.644,0.0327,117.676,0.359
"From Me, the Moon",0.995,0.556,0.0179,0.16,0.0684,-28.603,0.0383,99.411,0.152
State Lines,0.959,0.509,0.31,0.229,0.0963,-10.623,0.0313,137.474,0.151
I Can't Handle Change,0.0447,0.247,0.438,0.000867,0.111,-8.478,0.0358,185.711,0.39
Coffee Cups and Cigarettes,0.995,0.459,0.063,0.803,0.108,-14.446,0.0366,131.704,0.15
Sleep Thru Ur Alarms,0.302,0.612,0.344,0.296,0.115,-14.066,0.0269,97.479,0.0691
Everything Works Out in the End,0.763,0.551,0.346,9.03e-06,0.11,-11.287,0.0278,83.045,0.29
Anchor,0.805,0.457,0.407,0.884,0.126,-11.475,0.0308,117.053,0.126
things that i miss,0.938,0.529,0.176,0.0,0.318,-12.587,0.0556,78.242,0.239
Atlantis,0.0529,0.4,0.479,2.14e-06,0.115,-7.989,0.0308,166.159,0.213
letting you in,0.932,0.532,0.129,0.0,0.321,-13.458,0.0735,99.549,0.268
You Wrote 'Don't Forget' On Your Arm,0.917,0.61,0.2,7.06e-05,0.508,-17.461,0.054,122.874,0.0606
Forever & Always,0.989,0.496,0.102,0.924,0.111,-23.562,0.0455,154.871,0.357
i want you to help me live,0.889,0.551,0.226,0.242,0.0764,-13.01,0.0524,149.854,0.333
My Kind of Woman,0.727,0.447,0.17,1.58e-05,0.0845,-17.194,0.0565,195.679,0.212
In My Head,0.168,0.577,0.611,0.92,0.106,-13.535,0.0323,150.91,0.177
I Exist I Exist I Exist,0.35,0.445,0.157,0.761,0.153,-18.2,0.0385,118.511,0.121
Changes,0.939,0.648,0.115,3.88e-05,0.11,-17.133,0.0445,119.967,0.29
Home,0.852,0.5,0.234,0.000137,0.096,-14.915,0.0294,139.797,0.166
Rosyln,0.971,0.329,0.277,0.024,0.0971,-13.111,0.0302,159.719,0.121
Fourth of July,0.973,0.435,0.104,0.33,0.119,-22.39,0.0445,120.484,0.162
i'd rather be alone,0.792,0.395,0.204,0.151,0.128,-13.485,0.0283,81.888,0.121
Oh Love,0.962,0.549,0.0597,0.0789,0.0676,-20.149,0.074,72.712,0.304
Pluto Projector,0.707,0.379,0.219,0.000691,0.118,-11.196,0.0307,79.786,0.188
midnight love,0.717,0.284,0.538,0.105,0.111,-9.894,0.0886,179.708,0.259
