name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Jackpot (The Him Remix),0.021,0.624,0.864,0.000407,0.233,-5.341,0.0564,122.03,0.4
White Tiger - Single Version,0.222,0.772,0.582,8.78e-05,0.108,-5.14,0.0615,117.856,0.319
Energy,0.38,0.747,0.571,0.0,0.534,-7.916,0.478,172.104,0.553
Our Love,0.184,0.741,0.773,0.0,0.135,-6.692,0.0804,125.007,0.383
Running Out,0.0856,0.601,0.682,0.00384,0.132,-5.905,0.0338,94.999,0.17
Sunshine,0.0494,0.693,0.693,0.0,0.744,-10.764,0.0851,136.884,0.685
Jubel,0.185,0.698,0.476,0.238,0.0542,-7.459,0.0417,124.986,0.181
Smoke Filled Room,0.024,0.574,0.731,0.0,0.0779,-4.582,0.0664,127.925,0.402
Too Much to Handle,0.2,0.724,0.618,1.07e-05,0.0806,-4.36,0.0483,128.085,0.916
"Revolution (feat. Faustix, Imanos & Kai)",0.00499,0.634,0.724,0.000193,0.0732,-5.842,0.0546,148.024,0.309
Walk on by (Sound Remedy Remix),0.0178,0.525,0.699,8.8e-05,0.0888,-4.571,0.0353,92.011,0.199
Be Okay,0.00431,0.659,0.925,0.0,0.205,-4.567,0.0559,117.015,0.64
Golden,0.00045,0.474,0.845,0.0,0.613,-4.931,0.156,99.975,0.634
New Americana,0.0135,0.474,0.708,0.0,0.336,-5.098,0.0325,86.953,0.305
All of You,0.00425,0.589,0.837,0.114,0.175,-4.803,0.028,127.977,0.429
Blue Hawaii,0.064,0.652,0.744,2.87e-05,0.342,-4.098,0.0378,123.006,0.487
Sugar (feat. Francesco Yates),0.0185,0.636,0.815,0.0,0.163,-5.098,0.0581,123.063,0.636
Take It or Leave It,0.162,0.69,0.753,0.0,0.0718,-3.83,0.0555,148.024,0.931
Waves - Robin Schulz Radio Edit,0.00849,0.83,0.507,0.00139,0.0955,-9.295,0.0369,119.999,0.444
Dreaming,0.000457,0.624,0.878,0.0,0.0656,-2.934,0.0514,119.106,0.878
7/11,0.0128,0.747,0.705,0.0,0.126,-5.137,0.126,136.024,0.56
Elastic Heart,0.0117,0.421,0.791,1.48e-05,0.146,-4.998,0.0496,130.075,0.499
Revolusion,0.127,0.579,0.886,0.000715,0.334,-4.964,0.499,159.95,0.32
Alive,0.00413,0.663,0.822,0.00318,0.234,-2.909,0.0557,128.002,0.567
What Do You Mean?,0.65,0.841,0.571,0.00033,0.0895,-8.066,0.102,125.032,0.772
I Do,0.00532,0.716,0.729,0.000597,0.313,-5.726,0.0375,124.003,0.498
Delilah - Galantis Remix / Edit,0.0798,0.58,0.885,0.00329,0.249,-3.369,0.0698,127.907,0.319
Black Magic,0.00439,0.643,0.575,0.0,0.117,-7.247,0.0543,102.94,0.29
Player - Jai Wolf Remix,0.0654,0.582,0.872,0.000182,0.0436,-0.936,0.0462,106.038,0.196
Whole Lotta Lovin',0.187,0.444,0.406,5.18e-06,0.0627,-8.687,0.0619,159.88,0.427
Activate Me - Hoodboi Remix,0.00158,0.549,0.758,0.102,0.154,-8.675,0.0516,142.032,0.434
Omen - Dillon Francis Remix,0.00197,0.581,0.892,3.64e-06,0.322,-4.545,0.152,111.954,0.464
Show Your Colors (PLS&TY Remix),0.00392,0.55,0.866,0.0,0.349,-2.554,0.0581,164.006,0.365
Running Wild (feat. The Oddictions and Britt Daley) - Jayceeoh Remix,0.001,0.503,0.734,0.731,0.0931,-5.313,0.0388,140.091,0.0934
Embrace (Le Youth Radio Mix),0.0821,0.763,0.877,0.000311,0.0643,-5.593,0.0516,124.033,0.835
Work It Out (feat. Digital Farm Animals),0.00569,0.468,0.887,1.93e-05,0.0528,-2.936,0.046,86.016,0.222
Eyes Wide - Samuel Remix,0.176,0.592,0.604,0.00368,0.178,-7.504,0.0353,114.029,0.213
Dynamite,0.0491,0.682,0.767,0.00189,0.0768,-5.752,0.104,127.933,0.4
I Wish (My Taylor Swift) - Jayceeoh Remix,0.029,0.505,0.89,8.22e-05,0.11,-3.767,0.0436,133.955,0.31
Tremble,0.0968,0.685,0.736,0.222,0.0807,-3.578,0.0388,149.963,0.343
Bright Side - Axmod Remix,0.0502,0.696,0.526,0.00228,0.099,-5.895,0.0392,113.008,0.311
Keeping Your Head Up - Don Diablo Remix; Radio Edit,0.46,0.639,0.931,0.0,0.0942,-1.73,0.0708,126.084,0.471
Bass Charmer (feat. JFMEE),0.00226,0.535,0.961,0.000208,0.39,-3.068,0.102,159.883,0.283
Rolling (feat. Chrissy Quadros),0.0137,0.763,0.825,0.000387,0.385,-4.104,0.0366,125.005,0.364
Afterlife (Remix by Frank Pole),0.0378,0.713,0.771,8.03e-05,0.221,-4.562,0.201,114.93,0.42
With You (Regulators Remix),0.0061,0.618,0.804,0.253,0.309,-6.793,0.0294,150.022,0.17
Inside Out,0.00308,0.545,0.65,7.98e-06,0.122,-5.853,0.0315,143.937,0.121
Drum Machine (feat. Skrillex) - Fareoh Remix,0.0121,0.603,0.977,0.0068,0.123,-2.461,0.109,150.019,0.175
Down (Shindō & Ricky Mears Remix),0.00873,0.645,0.742,0.000957,0.0833,-4.928,0.11,150.087,0.263
Raging (feat. Kodaline),0.0498,0.55,0.689,0.0,0.207,-7.76,0.094,99.904,0.408
Satisfy,0.101,0.488,0.725,2.66e-05,0.118,-6.133,0.141,83.341,0.51
Give Me Your Love (feat. Nile Rodgers),0.00411,0.635,0.945,2.41e-05,0.314,-2.298,0.036,125.024,0.686
Jungle - Remix,0.00487,0.464,0.785,1.05e-05,0.29,-4.034,0.244,78.185,0.245
Marathon,0.0447,0.693,0.905,0.000224,0.354,-5.608,0.0383,104.989,0.399
Hair (feat. Sean Paul),0.00623,0.712,0.835,1.68e-06,0.843,-4.676,0.0487,153.956,0.741
Talking About Love,0.00978,0.682,0.935,0.0106,0.122,-1.503,0.0336,125.995,0.412
The Touch,0.00822,0.64,0.761,0.00377,0.0464,-6.07,0.0344,112.024,0.319
Takes My Body Higher (feat. Lincoln Jesser),0.238,0.71,0.732,0.0,0.146,-5.266,0.0381,125.032,0.128
This Is What You Came For,0.199,0.631,0.927,0.119,0.148,-2.787,0.0332,123.962,0.465
Care (Ft. Madi),0.162,0.549,0.832,0.0,0.117,-3.424,0.0964,168.025,0.19
How to Love (feat. Sofia Reyes),0.148,0.673,0.894,3.4e-06,0.141,-2.73,0.0594,118.894,0.63
