name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Uptown Funk (feat. Bruno Mars),0.00966,0.853,0.681,5.71e-05,0.0233,-5.003,0.0888,114.989,0.93
Hooked On A Feeling,0.261,0.547,0.82,0.0,0.3,-6.728,0.0805,118.208,0.933
Music For a Sushi Restaurant,0.258,0.72,0.715,0.0568,0.107,-4.652,0.04,107.041,0.357
A-Punk,0.0102,0.551,0.821,0.0438,0.153,-4.489,0.0539,174.923,0.842
Levitating (feat. DaBaby),0.00883,0.702,0.825,0.0,0.0674,-3.787,0.0601,102.977,0.915
Hey Ya!,0.0644,0.715,0.97,0.000156,0.205,-2.206,0.0648,79.504,0.963
Made You Look,0.345,0.838,0.525,1.92e-06,0.0771,-3.562,0.0665,144.981,0.884
Walking On Sunshine,0.0116,0.596,0.869,0.173,0.0678,-11.97,0.037,109.902,0.944
THATS WHAT I WANT,0.00614,0.737,0.846,0.0,0.0486,-4.51,0.22,87.981,0.546
Twist And Shout - Remastered,0.641,0.482,0.849,7.74e-06,0.0414,-9.198,0.0452,124.631,0.937
Girlfriends,0.00151,0.373,0.847,0.0108,0.11,-4.88,0.0462,140.03,0.538
Lisztomania,0.0349,0.635,0.786,0.00767,0.497,-6.46,0.0377,97.54,0.305
Sunroof,0.352,0.768,0.714,0.0,0.15,-5.11,0.0401,131.443,0.842
Don't Stop Me Now,0.0175,0.566,0.876,0.0114,0.677,-4.6,0.187,156.291,0.642
Riptide,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,101.654,0.51
Video Killed The Radio Star,0.139,0.679,0.79,0.00669,0.165,-6.934,0.059,131.177,0.369
Kiss Me More (feat. SZA),0.259,0.764,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,0.781
Mr. Brightside,0.00113,0.351,0.928,0.0,0.0988,-3.71,0.0759,148.03,0.239
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.0123,0.666,0.83,0.0,0.191,-5.715,0.0751,113.03,0.702
Wake Me Up Before You Go-Go,0.144,0.586,0.651,0.0,0.489,-10.16,0.048,81.397,0.901
A-O-K,0.125,0.731,0.626,0.0,0.183,-6.919,0.0805,82.488,0.862
Should I Stay or Should I Go - Remastered,0.0832,0.742,0.838,0.0,0.418,-6.442,0.11,113.373,0.848
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],0.0426,0.794,0.811,1.07e-06,0.101,-8.966,0.038,116.047,0.862
Beggin',0.127,0.714,0.8,0.0,0.359,-4.808,0.0504,134.002,0.589
Lush Life,0.132,0.694,0.712,0.0,0.211,-3.923,0.046,98.023,0.799
You Can't Always Get What You Want,0.64,0.32,0.62,6.36e-05,0.253,-9.686,0.0594,86.327,0.472
Can I Get It,0.0171,0.703,0.68,0.0,0.178,-6.118,0.0431,97.985,0.536
How Bizarre,0.261,0.784,0.675,1.4e-06,0.293,-7.718,0.049,124.908,0.854
Treasure,0.0412,0.874,0.692,7.24e-05,0.324,-5.28,0.0431,116.017,0.937
Come,0.232,0.818,0.783,0.00886,0.0803,-6.534,0.0444,99.992,0.819
Bam Bam (feat. Ed Sheeran),0.182,0.756,0.697,0.0,0.333,-6.377,0.0401,94.996,0.956
Everybody Needs Somebody To Love,0.18,0.525,0.686,2.66e-06,0.274,-8.879,0.0325,193.667,0.91
For Once In My Life,0.576,0.594,0.705,0.0,0.374,-6.415,0.0396,102.062,0.372
Electric Love,0.00543,0.611,0.797,0.00137,0.26,-7.627,0.0533,120.041,0.518
Watermelon Sugar,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,0.557
Don't Worry Be Happy,0.881,0.681,0.163,7.62e-05,0.0688,-22.597,0.165,69.283,0.771
Supalonely,0.305,0.863,0.631,3.04e-05,0.123,-4.689,0.0534,128.977,0.817
I Got You (I Feel Good),0.331,0.598,0.531,1.51e-06,0.0938,-7.484,0.0954,70.469,0.696
Sunday Best,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,112.022,0.694
Shiny Happy People,0.00361,0.491,0.87,0.126,0.184,-5.99,0.0308,124.444,0.814
As It Was,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662
One Track Mind,0.014,0.601,0.691,0.177,0.268,-7.859,0.0435,150.944,0.863
Celebration - Single Version,0.0466,0.843,0.656,0.0187,0.169,-11.184,0.0595,121.112,0.931
3 Nights,0.223,0.815,0.518,0.0,0.104,-6.594,0.0897,151.891,0.877
Gimme Hope Jo'Anna,0.401,0.896,0.704,0.132,0.0884,-12.148,0.0402,128.685,0.98
just for now,0.0559,0.66,0.564,7.07e-06,0.392,-8.751,0.177,98.105,0.929
