name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
July,0.868,0.708,0.186,0.0,0.0779,-8.953,0.0422,72.541,0.321
everything i wanted,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,0.243
Again (feat. XXXTENTACION),0.188,0.664,0.738,5.75e-05,0.135,-4.095,0.0338,119.973,0.203
Slide Away,0.17,0.53,0.538,2.83e-06,0.248,-6.672,0.0335,148.051,0.288
Younger Now,0.00129,0.548,0.873,4.55e-05,0.138,-4.881,0.0618,121.918,0.328
Malibu,0.0767,0.573,0.781,2.64e-05,0.0813,-6.406,0.0555,139.934,0.343
Ultraviolence,0.278,0.144,0.541,1.01e-05,0.101,-7.076,0.038,79.262,0.0899
West Coast,0.194,0.527,0.591,0.0194,0.0907,-7.664,0.0396,123.167,0.461
Born To Die,0.222,0.428,0.626,8.22e-05,0.277,-6.639,0.0339,86.02,0.379
Blue Jeans,0.418,0.558,0.837,0.0,0.0821,-4.405,0.0633,117.963,0.488
Gods & Monsters,0.00193,0.352,0.725,2.73e-06,0.22,-6.463,0.0656,189.767,0.339
13 Beaches,0.539,0.333,0.389,0.0772,0.163,-9.132,0.0364,144.204,0.25
Summer Bummer (feat. A$AP Rocky & Playboi Carti),0.0155,0.76,0.574,2.02e-05,0.199,-8.57,0.126,134.981,0.137
hope is a dangerous thing for a woman like me to have - but I have it,0.964,0.49,0.104,0.0,0.162,-13.208,0.0635,86.675,0.278
when the party's over,0.978,0.367,0.111,3.97e-05,0.0897,-14.084,0.0972,82.642,0.198
Fault Line,0.0237,0.49,0.495,0.0,0.0834,-5.253,0.0275,88.015,0.478
Chanel,0.874,0.776,0.503,0.0,0.112,-5.732,0.237,110.134,0.473
In My Room,0.594,0.861,0.647,0.661,0.114,-7.425,0.0675,158.037,0.67
Fake You,0.197,0.585,0.606,0.133,0.107,-8.885,0.0582,163.942,0.26
Disparate Youth,0.0131,0.642,0.931,0.825,0.215,-4.142,0.0417,152.005,0.548
Angels,0.959,0.472,0.265,0.000499,0.1,-10.059,0.0356,111.558,0.204
Cold Blooded,0.777,0.71,0.405,0.000163,0.111,-10.864,0.0519,103.04,0.402
The Blackest Day,0.363,0.445,0.522,0.000487,0.0797,-8.007,0.0331,107.752,0.162
Somebody Else,0.195,0.61,0.788,0.0142,0.153,-5.724,0.0585,101.045,0.472
Down The Line,0.389,0.538,0.734,0.42,0.0849,-6.284,0.0318,147.901,0.63
Take It Easy - Matstubs Remix,0.0347,0.561,0.515,0.00035,0.0677,-5.702,0.0305,75.028,0.0725
Blood,0.125,0.475,0.478,0.0428,0.128,-8.634,0.0286,79.005,0.122
Warning Sign,0.0942,0.532,0.433,0.0121,0.142,-9.423,0.0278,140.666,0.0395
Cold,0.647,0.67,0.572,4.72e-06,0.104,-7.312,0.0415,132.98,0.259
Vessels,0.379,0.717,0.507,3.16e-05,0.156,-6.973,0.107,140.785,0.295
Million Reasons,0.494,0.666,0.423,0.0,0.106,-8.012,0.043,129.89,0.154
Joanne,0.146,0.549,0.414,0.0,0.0998,-8.453,0.0273,149.746,0.404
Julia,0.00866,0.666,0.688,9e-06,0.0964,-7.071,0.031,111.02,0.433
All Mine,0.125,0.925,0.308,0.0,0.0933,-6.562,0.338,122.099,0.265
You And I - SAINT WKND Remix,0.0968,0.607,0.793,0.000559,0.0852,-5.62,0.0322,119.956,0.348
Till It Kills Me,0.0864,0.57,0.669,0.0,0.111,-2.976,0.0346,102.485,0.409
Vague Utopia,0.00302,0.444,0.829,0.27,0.177,-3.056,0.0319,126.932,0.279
My Tears Are Becoming A Sea,0.11,0.194,0.376,0.386,0.593,-11.356,0.0463,48.637,0.0723
Formula,0.0448,0.574,0.664,0.0553,0.146,-6.068,0.0409,144.654,0.226
Forever,0.92,0.563,0.459,0.724,0.11,-7.781,0.0292,79.983,0.197
Still Don't Know My Name,0.471,0.316,0.63,0.262,0.205,-5.963,0.117,89.643,0.313
All For Us - from the HBO Original Series Euphoria,0.0165,0.348,0.652,0.000264,0.33,-7.145,0.0931,70.956,0.172
go with u,0.594,0.787,0.537,6.26e-05,0.114,-6.827,0.204,108.994,0.346
Oblivion,0.00317,0.399,0.612,0.33,0.127,-7.814,0.0358,128.167,0.0567
Only - Kaskade x Lipless Remix,0.0778,0.448,0.576,0.117,0.126,-5.568,0.053,174.039,0.101
Solitude - Felsmann + Tiley Reinterpretation,0.668,0.367,0.202,0.145,0.109,-11.342,0.0313,121.865,0.0362
