name,uri,genres,artists,mood
Apocalypse,3AVrVz5rK8Hrqo9YGiVGN5,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",Cigarettes After Sex,calm
Space Song,1ZgMsA55GIY7ICkQh5MILA,"['baltimore indie', 'dream pop', 'dreamo', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']",Beach House,calm
Runaway,1v1oIWf2Xgh54kIWuKsDf6,"['art pop', 'norwegian pop']",AURORA,calm
Kids,6ixkZ2Q9gQeh52C6GxbETg,"['lo-fi indie', 'pov: indie']",Current Joys,calm
July,5a6pdCHlWS2ekOOQ70QnAr,"['alt z', 'pop']",Noah Cyrus,calm
New Home,707BRCe5feUySwv7141QeA,['ambient lo-fi'],Austin Farwell,calm
Agape,2IvnDjlgH8yy70Nz99UdcJ,"['orchestral soundtrack', 'soundtrack']",Nicholas Britell,calm
Lights Are On,4IhTXiZLKATmwhMZIb1GQN,[],Tom Rosenthal,calm
Je te laisserai des mots,0V5cvmTKsYmF5FmGGEAfmS,"['indie folk', 'indie quebecois']",Patrick Watson,calm
The Wisp Sings,68RI4I6SKm57SxjG06OYvN,[],Winter Aid,calm
Always Forever,2enPRFda84VE2wtI8c86Uf,"['experimental pop', 'indie surf', 'pov: indie']",Cults,calm
Georgia,6wCqavAUbTEj8eCmSfemsO,"['rock-and-roll', 'rockabilly']",It's Midnight,calm
Where's My Love - Acoustic,1eKvw144NYPlDjR0wQoGLW,"['indie anthem-folk', 'modern indie pop']",SYML,calm
Ontario,1XZPtZVqcOzzxbYIR7MjQw,"['ambient folk', 'indie folk', 'modern indie folk']",Novo Amor,calm
worldstar money (interlude),0baNzeUcPQnQSagpe8T0mD,['viral pop'],Joji,calm
Happiness is a butterfly,3lG6OtGDsYAOALxEmubQQm,"['art pop', 'pop']",Lana Del Rey,calm
Mystery of Love,5GbVzc6Ex5LYlLJqzRQhuy,"['art pop', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'singer-songwriter']",Sufjan Stevens,calm
Euphor,4CiqKccFFYGmFPz7HVTjfW,"['ambient folk', 'indie folk', 'modern indie folk']",Novo Amor,calm
Turning Page,2QFyOnJfJ49OnNgMvKXvTM,['gen z singer-songwriter'],Sydney Rose,calm
Where's My Love,2NeM9rfWo70KQej9GxeaoL,"['indie anthem-folk', 'modern indie pop']",SYML,calm
Pretending,0Hl9UVyRjxp8Une9PADf5H,['pov: indie'],Charlie,calm
Sometimes (Backwood),5ysFFsqJFcsX8Rez67j2tv,['bedroom pop'],Gigi Perez,calm
lvr boy,6Py8QOQ4I1286xM9KncPQ4,"['indie pop', 'pov: indie']",awfultune,calm
Roslyn,7ug6VGPW7YpDjj2eI4MFc5,[],Ben Pellow,calm
Vas,6S7o12almFeL57rbRvdY5l,['bedroom pop'],jagger finn,calm
Mind Over Matter (Reprise),77KnJc8o5G1eKVwX5ywMeZ,"['indietronica', 'modern alternative rock', 'modern rock', 'pov: indie', 'stomp and holler']",Young the Giant,calm
As the World Caves In,3NM41PVVUr0ceootKAtkAj,"['indie anthem-folk', 'indie pop', 'pov: indie']",Matt Maltese,calm
Butterfly's Repose,36c2NifUp0GDnoOQT5unhR,"['polish alternative rock', 'polish pop']",Zabawa,calm
Repeat Until Death,5PzWVmfzu7rePAuFkxPQf0,"['ambient folk', 'indie folk', 'modern indie folk']",Novo Amor,calm
Falling for You,2tMXzMhp70DNSSJjokFf2z,[],Cedars Mind,calm
"Runaway (From ""Westworld"") - Piano Rendition",6nRJNnhhPksfAXOUlEjSW4,[],The Blue Notes,calm
i was all over her,7svpAkwc6xaSxlbZ7V7JiS,"['countrygaze', 'lo-fi emo', 'lo-fi indie', 'pov: indie', 'slowcore', 'small room']",salvia palth,calm
Tired,6F5mZpEEjhsAW8UEqbIpz1,"['bedroom pop', 'bubblegrunge', 'indie pop', 'pov: indie']",beabadoobee,calm
i met sarah in the bathroom,0mr8FAnN9X70p5KRUwMIJx,"['indie pop', 'pov: indie']",awfultune,calm
Bubble Gum,3zksbXteOCeSusJ5Xltr3t,"['bedroom pop', 'indie pop', 'pov: indie']",Clairo,calm
Fear,1fSNVgPaop1mGi5cjJq1s8,"['lo-fi indie', 'pov: indie']",Current Joys,calm
Sparks,7D0RhFcb3CrfPuTJ0obrod,"['permanent wave', 'pop']",Coldplay,calm
Yellow,3AJwUDP919kvQ9QcozQPxg,"['permanent wave', 'pop']",Coldplay,calm
The Scientist,75JFxkI2RXiU7L9VXzMkle,"['permanent wave', 'pop']",Coldplay,calm
The Night We Met,3hRV0jL3vUpRrcy398teAU,"['indie folk', 'stomp and holler']",Lord Huron,calm
Medicine,5Zz8mrmVVhOq3iuv8Gh0MX,"['neo mellow', 'singer-songwriter']",Daughter,calm
Feeling Whitney,35r28RDot7nPE7y9K9H7l0,"['dfw rap', 'melodic rap', 'pop', 'rap']",Post Malone,calm
Forever,6potEImiklXkwD9qFzpu15,"['indie poptimism', 'pop']",Labrinth,calm
Fortitude,23rc3hj3GIEkdAjAPYc2dd,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",HAEVN,calm
A Soulmate Who Wasn’t Meant to Be,0gOz9JUXsaKVzLTSmFDtdo,['gen z singer-songwriter'],Jess Benko,calm
Hearing,13Z3uZXTFpbLBZ8R1rTUKO,"['ambient worship', 'chamber pop']",Sleeping At Last,calm
