name,uri,genres,artists,mood
July,5a6pdCHlWS2ekOOQ70QnAr,"['alt z', 'pop']",Noah Cyrus,sad
everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,"['art pop', 'pop']",Billie Eilish,sad
Again (feat. XXXTENTACION),2S2od3hT7ceytw7d1pTRuE,"['alt z', 'pop']",Noah Cyrus,sad
Slide Away,44ADyYoY5liaRa3EOAl4uf,['pop'],Miley Cyrus,sad
Younger Now,2fGxYYMQbVqgIdaqfz2OwA,['pop'],Miley Cyrus,sad
Malibu,1UZOjK1BwmwWU14Erba9CZ,['pop'],Miley Cyrus,sad
Ultraviolence,1y3r6RXiJZNBV1EI0NggpS,"['art pop', 'pop']",Lana Del Rey,sad
West Coast,5Y6nVaayzitvsD5F7nr3DV,"['art pop', 'pop']",Lana Del Rey,sad
Born To Die,487OPlneJNni3NWC8SYqhW,"['art pop', 'pop']",Lana Del Rey,sad
Blue Jeans,2lFTzUnuGaWlWHJQokjRyb,"['art pop', 'pop']",Lana Del Rey,sad
Gods & Monsters,1TogTbSn3xkbapb6OUxRvq,"['art pop', 'pop']",Lana Del Rey,sad
13 Beaches,3ZKRAzNAsiJrBGUM2BX9av,"['art pop', 'pop']",Lana Del Rey,sad
Summer Bummer (feat. A$AP Rocky & Playboi Carti),5QqyRUZeBE04yJxsD1OC0I,"['art pop', 'pop']",Lana Del Rey,sad
hope is a dangerous thing for a woman like me to have - but I have it,0fB77VOZ2FkQeKLv1DuEwp,"['art pop', 'pop']",Lana Del Rey,sad
when the party's over,43zdsphuZLzwA9k4DJhU0I,"['art pop', 'pop']",Billie Eilish,sad
Fault Line,6FS0pEVSEnIyGSaQLnfgWV,[],Jack River,sad
Chanel,6Nle9hKrkL1wQpwNfEkxjh,"['lgbtq+ hip hop', 'neo soul']",Frank Ocean,sad
In My Room,4S4Mfvv03M1cHgIOJcbUCL,"['lgbtq+ hip hop', 'neo soul']",Frank Ocean,sad
Fake You,2ZjdNFPXtVdIMJeDBJBHj8,['nyc pop'],Yoke Lore,sad
Disparate Youth,0t2QiRkpag0fAgs9zuCPlH,"['alternative dance', 'art pop', 'indietronica', 'neo-synthpop']",Santigold,sad
Angels,67kXYrMTQbS7MVbXyGyxHm,"['pop', 'pop r&b']",Khalid,sad
Cold Blooded,34izzOmykADkGT27pUjUvJ,"['pop', 'pop r&b']",Khalid,sad
The Blackest Day,45pI8224KKX9Gx5fiyvEAh,"['art pop', 'pop']",Lana Del Rey,sad
Somebody Else,5hc71nKsUgtwQ3z52KEKQk,['singer-songwriter pop'],The 1975,sad
Down The Line,0GixW2r7DQK76xOxMmKn8S,"['chamber pop', 'gothenburg indie', 'indie folk', 'stomp and holler', 'swedish indie folk', 'swedish indie pop', 'swedish singer-songwriter']",José González,sad
Take It Easy - Matstubs Remix,12tqBVgDHj9Rue21Hedhyg,['metropopolis'],Jetta,sad
Blood,13yuX1iqobZtQtq5lr8UoC,"['australian indie', 'australian indie folk', 'chamber pop']",The Middle East,sad
Warning Sign,4bPkBHKLKd9WHizsvM2zV3,"['permanent wave', 'pop']",Coldplay,sad
Cold,1QWmKmqhv5zcsS3v45FNl0,"['dfw rap', 'melodic rap', 'pop', 'rap']",Post Malone,sad
Vessels,7cQbC225OQ0nloBmokoz15,[],Rationale,sad
Million Reasons,7dZ1Odmx9jWIweQSatnRqo,"['art pop', 'dance pop', 'pop']",Lady Gaga,sad
Joanne,2kecdnlyueotEMC8rdNlf6,"['art pop', 'dance pop', 'pop']",Lady Gaga,sad
Julia,3oUSdLtRYOSvXcLMrHctv7,"['pop', 'r&b', 'rap']",SZA,sad
All Mine,3qnoOm4fwZPBS116f5hpgF,"['chicago rap', 'hip hop', 'rap']",Kanye West,sad
You And I - SAINT WKND Remix,43vJhPJKdY2aLz7bODyrtg,['indie pop'],LÉON,sad
Till It Kills Me,2TxwpbAX50crEfmLJlQ34i,['comic'],Montaigne,sad
Vague Utopia,3f9RnZCszU0knCrrRnzAal,"['australian indie', 'brisbane indie']",Tia Gostelow,sad
My Tears Are Becoming A Sea,1Fwj0wThn3kTg8D7KgWdsU,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']",M83,sad
Formula,6EtKlIQmGPB9SX8UjDJG5s,"['indie poptimism', 'pop']",Labrinth,sad
Forever,6potEImiklXkwD9qFzpu15,"['indie poptimism', 'pop']",Labrinth,sad
Still Don't Know My Name,6N22FZs2ZhPBYi3b9XPajV,"['indie poptimism', 'pop']",Labrinth,sad
