name,uri,genres,artists,mood
Jackpot (The Him Remix),6NSjdFYF2zxgQ7UvsKoRxy,['canadian electropop'],Jocelyn Alice,energetic
White Tiger - Single Version,64I0PKLFEKlcvc7fEVUGq0,"['chillwave', 'edm', 'indietronica']",Izzy Bizu,energetic
Energy,79XrkTOfV1AqySNjVlygpW,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Drake,energetic
Our Love,4MyyNsp3aBr0SKSKENNpDT,['afrobeats'],Nico & Vinz,energetic
Running Out,2H8LPaY3NSjmOFMH2Rygnz,[],Matoma,energetic
Sunshine,2lEBInNYXOrnZkXItbmAIN,"['progressive jazz fusion', 'wonky']",Dorian,energetic
Jubel,2mpsKeLCbdXkwEpZRNi4XD,[],Klingande,energetic
Smoke Filled Room,4f13AaRyukUTWleyKXaRDh,['movie tunes'],Mako,energetic
Too Much to Handle,6ZqbCojBV78MFkYnyk7ZIq,['pop'],Great Good Fine Ok,energetic
"Revolution (feat. Faustix, Imanos & Kai)",5zG4pMcM2QILFOFL3Y3ZMf,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",Diplo,energetic
Walk on by (Sound Remedy Remix),11BPfwVbB7vok7KfjBeW4k,['chill out'],Noosa,energetic
Be Okay,7AonnmPTczSzmqPs32Po69,['post-disco'],Oh Honey,energetic
Golden,5uQSMMQKcPyRt8r7YM8uwt,"['hopebeat', 'indie poptimism', 'metropopolis', 'shimmer pop']",Parade of Lights,energetic
New Americana,70FfnLougoxye4i9Z0EhB3,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Halsey,energetic
All of You,37oGPPT1GLkcjByBCY05ag,"['australian dance', 'dance pop', 'electropop', 'metropopolis']",Betty Who,energetic
Blue Hawaii,1yujmT64VJM0k7pceaLIC8,"['gym phonk', 'phonk brasileiro']",ASTR,energetic
Sugar (feat. Francesco Yates),3NFuE3uDOr6QUw9UZ9HzKo,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",Robin Schulz,energetic
Take It or Leave It,7LeIYh4gDj5l8mJ7kNsHIv,['pop'],Great Good Fine Ok,energetic
Waves - Robin Schulz Radio Edit,4OJKPoqK5oMdPmAuT4V8Lg,['pop dance'],Mr. Probz,energetic
Dreaming,3c7vquF4xacCmFrxztLUVH,"['hopebeat', 'indie poptimism', 'la indie', 'la pop', 'metropopolis', 'modern alternative rock', 'modern rock']",Smallpools,energetic
7/11,02M6vucOvmRfMxTXDUwRXu,"['pop', 'r&b']",Beyoncé,energetic
Elastic Heart,6kwAbEjseqBob48jCus7Sz,"['australian dance', 'australian pop', 'pop']",Sia,energetic
Revolusion,7ppPVLsLNfHDneQnzZmUFJ,[],Elliphant,energetic
Alive,2SHnUyZq0zwmvRIl4WY77G,"['edm', 'electra', 'electro house', 'pop dance']",Krewella,energetic
